state,district,pincode,forecast_month,forecast,pi_low,pi_high,last_month,last_value
Andhra Pradesh,Anantapur,515765,2025-12-01,1.703125,0.45277448504173035,2.95347551495827,2025-11-01,2
Andhra Pradesh,Anantapur,515766,2026-01-01,3.861328125,0.16928057322477796,7.553375676775222,2025-12-01,5
Andhra Pradesh,Anantapur,515767,2026-01-01,1.255859375,0.04867680634456728,2.4630419436554325,2025-12-01,1
Andhra Pradesh,Anantapur,515774,2025-12-01,1.015625,0.717879626077402,1.3133703739225981,2025-11-01,1
Andhra Pradesh,Anantapur,515775,2026-01-01,1.30078125,0.0,3.4217099668856767,2025-12-01,1
Andhra Pradesh,Anantapur,515787,2026-01-01,1.15625,0.2845408036065451,2.027959196393455,2025-12-01,1
Andhra Pradesh,Anantapur,515801,2026-01-01,3.3671875,2.1530891326909902,4.58128586730901,2025-12-01,3
Andhra Pradesh,Anantapur,515803,2026-01-01,1.625,0.0,3.8546821192585226,2025-12-01,1
Andhra Pradesh,Anantapur,515812,2026-01-01,2.71484375,0.8854236342795596,4.54426386572044,2025-12-01,3
Andhra Pradesh,Anantapur,515822,2026-01-01,1.390625,0.20037065479832927,2.5808793452016707,2025-12-01,1
Andhra Pradesh,Anantapur,515832,2025-12-01,1.609375,0.0,3.8397066989137483,2025-11-01,1
Andhra Pradesh,Anantapur,515842,2025-12-01,2.828125,0.0,6.001699781942179,2025-11-01,4
Andhra Pradesh,Anantapur,515863,2025-12-01,1.15234375,0.0,2.417060690766166,2025-11-01,1
Andhra Pradesh,Anantapur,515865,2026-01-01,6.81298828125,3.5814882315945793,10.04448833090542,2025-12-01,7
Andhra Pradesh,Anantapur,515867,2026-01-01,2.962890625,0.0,7.327099964559333,2025-12-01,2
Andhra Pradesh,Anantapur,515870,2025-12-01,1.43359375,0.03522188830356843,2.8319656116964316,2025-11-01,1
Andhra Pradesh,Anantapur,515871,2026-01-01,5.43359375,0.9055523876431311,9.96163511235687,2025-12-01,7
Andhra Pradesh,Anantapur,515872,2025-11-01,1.0,1.0,1.0,2025-10-01,1
Andhra Pradesh,Ananthapur,515001,2026-01-01,1.765625,0.0,3.8550455833015502,2025-12-01,2
Andhra Pradesh,Ananthapur,515002,2025-12-01,1.0,1.0,1.0,2025-11-01,1
Andhra Pradesh,Ananthapur,515003,2026-01-01,1.0,1.0,1.0,2025-12-01,1
Andhra Pradesh,Ananthapur,515004,2026-01-01,1.125,0.330721338335615,1.9192786616643849,2025-12-01,1
Andhra Pradesh,Ananthapur,515101,2025-09-01,1.625,0.46058648945943115,2.7894135105405686,2025-08-01,2
Andhra Pradesh,Ananthapur,515122,2025-11-01,1.0,1.0,1.0,2025-10-01,1
Andhra Pradesh,Ananthapur,515123,2025-03-01,1.0,1.0,1.0,2025-02-01,1
Andhra Pradesh,Ananthapur,515124,2025-02-01,1.0,1.0,1.0,2025-01-01,1
Andhra Pradesh,Ananthapur,515134,2025-09-01,1.25,0.17646378728987422,2.323536212710126,2025-08-01,1
Andhra Pradesh,Ananthapur,515144,2025-12-01,1.5,0.29026173629719954,2.7097382637028007,2025-11-01,2
Andhra Pradesh,Ananthapur,515154,2026-01-01,1.0,1.0,1.0,2025-12-01,1
Andhra Pradesh,Ananthapur,515164,2025-12-01,1.0,1.0,1.0,2025-11-01,1
Andhra Pradesh,Ananthapur,515201,2026-01-01,1.2734375,0.0,2.719194902774075,2025-12-01,1
Andhra Pradesh,Ananthapur,515211,2025-11-01,1.25,0.20233593170329645,2.2976640682967036,2025-10-01,1
Andhra Pradesh,Ananthapur,515212,2025-03-01,1.0,1.0,1.0,2025-02-01,1
Andhra Pradesh,Ananthapur,515231,2025-11-01,1.5,0.29026173629719954,2.7097382637028007,2025-10-01,1
Andhra Pradesh,Ananthapur,515261,2026-01-01,1.5,0.2973988974873232,2.702601102512677,2025-12-01,2
Andhra Pradesh,Ananthapur,515271,2025-12-01,1.0,1.0,1.0,2025-11-01,1
Andhra Pradesh,Ananthapur,515281,2025-02-01,1.0,1.0,1.0,2025-01-01,1
Andhra Pradesh,Ananthapur,515286,2026-01-01,1.0,1.0,1.0,2025-12-01,1
Andhra Pradesh,Ananthapur,515301,2026-01-01,2.0,0.0,5.0364189434266144,2025-12-01,1
Andhra Pradesh,Ananthapur,515303,2026-01-01,1.0,1.0,1.0,2025-12-01,1
Andhra Pradesh,Ananthapur,515305,2025-07-01,1.0,1.0,1.0,2025-06-01,1
Andhra Pradesh,Ananthapur,515321,2025-08-01,1.0,1.0,1.0,2025-07-01,1
Andhra Pradesh,Ananthapur,515331,2025-03-01,1.0,1.0,1.0,2025-02-01,1
