state,district,forecast_month,forecast,pi_low,pi_high,last_month,last_value
Chhattisgarh,Janjgir Champa,2025-12-01,1.21875,0.22590167291951868,2.2115983270804813,2025-11-01,1
Chhattisgarh,Janjgir-champa,2026-01-01,146.80615234375,84.54963908750436,209.06266559999563,2025-12-01,160
Chhattisgarh,Jashpur,2026-01-01,79.81689453125,35.5378941521101,124.0958949103899,2025-12-01,88
Chhattisgarh,Kabeerdham,2026-01-01,25.26904296875,13.189807297606857,37.348278639893145,2025-12-01,29
Chhattisgarh,Kanker,2026-01-01,46.94287109375,27.927309700521214,65.95843248697878,2025-12-01,54
Chhattisgarh,Kawardha,2026-01-01,53.99951171875,28.38241469033877,79.61660874716122,2025-12-01,49
Chhattisgarh,Khairagarh Chhuikhadan Gandai,2026-01-01,4.140625,0.0,8.462170038867306,2025-12-01,4
Chhattisgarh,Kondagaon,2026-01-01,75.9013671875,44.516756035978005,107.285978339022,2025-12-01,77
Chhattisgarh,Korba,2026-01-01,106.892578125,63.69157217802114,150.09358407197885,2025-12-01,99
Chhattisgarh,Koriya,2026-01-01,69.06884765625,19.01646111999643,119.12123419250358,2025-12-01,88
Chhattisgarh,Mahasamund,2026-01-01,96.19921875,56.43538855857348,135.9630489414265,2025-12-01,84
Chhattisgarh,Manendragarh–Chirmiri–Bharatpur,2026-01-01,6.7451171875,0.2578995264008892,13.23233484859911,2025-12-01,6
Chhattisgarh,Mohalla-Manpur-Ambagarh Chowki,2025-12-01,1.25,0.17646378728987422,2.323536212710126,2025-11-01,1
Chhattisgarh,Mohla-Manpur-Ambagarh Chouki,2026-01-01,7.71142578125,3.5265038588282724,11.896347703671728,2025-12-01,7
Chhattisgarh,Mungeli,2026-01-01,85.4873046875,48.85149192968032,122.12311744531968,2025-12-01,79
Chhattisgarh,Narayanpur,2026-01-01,15.63671875,5.208504494865235,26.064933005134765,2025-12-01,15
Chhattisgarh,Raigarh,2026-01-01,97.10986328125,11.812829309996033,182.40689725250397,2025-12-01,90
Chhattisgarh,Raipur,2026-01-01,205.27294921875,140.20359191473906,270.34230652276096,2025-12-01,204
